4.2347e-01, 4.1560e-01
4.2086e-01, 4.1463e-01
4.2146e-01, 4.1421e-01
4.2100e-01, 4.1360e-01
4.2193e-01, 4.1377e-01
4.1980e-01, 4.1370e-01
4.2042e-01, 4.1426e-01
4.2402e-01, 4.1597e-01
4.2341e-01, 4.1388e-01
4.1993e-01, 4.1434e-01
4.1855e-01, 4.1338e-01
4.2386e-01, 4.1506e-01
4.2047e-01, 4.1367e-01
4.2389e-01, 4.1440e-01
4.2244e-01, 4.1443e-01
4.2178e-01, 4.1475e-01
4.2325e-01, 4.1473e-01
4.2029e-01, 4.1281e-01
4.2140e-01, 4.1518e-01
4.2083e-01, 4.1522e-01
4.2234e-01, 4.1402e-01
4.2329e-01, 4.1445e-01
4.2481e-01, 4.1452e-01
4.2174e-01, 4.1451e-01
4.2377e-01, 4.1557e-01
4.2508e-01, 4.1514e-01
4.2392e-01, 4.1536e-01
4.2124e-01, 4.1330e-01
4.2228e-01, 4.1491e-01
4.2127e-01, 4.1389e-01
4.2751e-01, 4.1795e-01
4.1718e-01, 4.1329e-01
4.2662e-01, 4.1679e-01
4.1986e-01, 4.1417e-01
4.2528e-01, 4.1574e-01
4.2170e-01, 4.1296e-01
4.2540e-01, 4.1547e-01
4.1582e-01, 4.1212e-01
4.2216e-01, 4.1446e-01
4.2470e-01, 4.1604e-01
4.2409e-01, 4.1477e-01
4.2232e-01, 4.1352e-01
4.2375e-01, 4.1486e-01
4.2136e-01, 4.1420e-01
4.2259e-01, 4.1507e-01
4.2650e-01, 4.1621e-01
4.2524e-01, 4.1537e-01
4.2372e-01, 4.1464e-01
4.1846e-01, 4.1232e-01
4.1927e-01, 4.1270e-01
4.1829e-01, 4.1114e-01
4.1837e-01, 4.1185e-01
4.2353e-01, 4.1393e-01
4.2106e-01, 4.1393e-01
4.2004e-01, 4.1362e-01
4.2253e-01, 4.1437e-01
4.2489e-01, 4.1479e-01
4.2337e-01, 4.1451e-01
4.2147e-01, 4.1386e-01
4.1868e-01, 4.1299e-01
4.2171e-01, 4.1397e-01
4.2054e-01, 4.1512e-01
4.1824e-01, 4.1208e-01
4.1962e-01, 4.1368e-01
4.2169e-01, 4.1362e-01
4.2177e-01, 4.1388e-01
4.3027e-01, 4.1726e-01
4.2636e-01, 4.1632e-01
4.2306e-01, 4.1342e-01
4.1899e-01, 4.1419e-01
4.2290e-01, 4.1531e-01
4.2022e-01, 4.1321e-01
4.1582e-01, 4.1132e-01
4.2236e-01, 4.1313e-01
4.2079e-01, 4.1481e-01
4.2468e-01, 4.1438e-01
4.2143e-01, 4.1352e-01
4.2147e-01, 4.1347e-01
4.2282e-01, 4.1468e-01
